Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
1,144247502,0.00039865 BTC,YES,YES,2021-05-06 12:44:07
2,55300995,0.00034997 BTC,YES,YES,2020-11-09 19:07:27
3,96842279,0.00017027 BTC,YES,YES,2021-03-13 20:46:19
4,146407035,0.00014832 BTC,YES,YES,2021-05-07 20:45:25
5,144051868,0.00009479 BTC,YES,YES,2021-05-06 09:46:13
6,95906189,0.00008856 BTC,YES,YES,2021-03-12 15:10:14
7,66476860,0.00008543 BTC,YES,YES,2021-01-14 23:04:10
8,54158973,0.00008290 BTC,YES,YES,2021-01-13 23:58:48
9,160412568,0.00007621 BTC,YES,YES,2021-05-16 17:17:31
10,144932502,0.00007077 BTC,YES,YES,2021-05-06 21:26:54
11,60465521,0.00006370 BTC,YES,YES,2020-12-20 20:46:32
12,26292825,0.00006093 BTC,YES,YES,2021-05-07 00:47:28
13,44575637,0.00003933 BTC,YES,YES,2020-07-17 11:43:17
14,95798451,0.00003792 BTC,YES,YES,2021-03-12 11:04:23
15,120361989,0.00003517 BTC,YES,YES,2021-04-13 22:58:56
16,47173042,0.00003266 BTC,YES,YES,2020-08-16 15:35:45
17,144334843,0.00003227 BTC,YES,YES,2021-05-06 14:03:42
18,144469217,0.00002761 BTC,YES,YES,2021-05-06 16:22:15
19,98306874,0.00002450 BTC,YES,YES,2021-05-07 06:41:33
20,84315402,0.00002373 BTC,YES,YES,2021-03-13 23:55:45
21,121942042,0.00001854 BTC,YES,YES,2021-04-18 12:37:50
22,146571925,0.00001712 BTC,YES,YES,2021-05-07 23:00:04
23,95850675,0.00001562 BTC,YES,YES,2021-03-12 12:51:39
24,145976691,0.00001511 BTC,YES,YES,2021-05-07 15:09:32
25,141941388,0.00001435 BTC,YES,YES,2021-05-07 15:22:09
26,154879565,0.00001421 BTC,YES,YES,2021-05-12 17:11:51
27,96849902,0.00001381 BTC,YES,YES,2021-03-13 20:57:50
28,148102769,0.00001341 BTC,YES,YES,2021-05-08 21:40:23
29,153794066,0.00001293 BTC,YES,YES,2021-05-11 23:06:51
30,67027169,0.00001210 BTC,YES,YES,2021-01-14 23:44:52
31,144117210,0.00001206 BTC,YES,YES,2021-05-06 10:48:39
32,95913496,0.00001180 BTC,YES,YES,2021-03-12 15:00:24
33,95649543,0.00001120 BTC,YES,YES,2021-03-13 17:03:07
34,66646942,0.00001056 BTC,YES,YES,2021-01-13 18:09:43
35,95904968,0.00001007 BTC,YES,YES,2021-03-12 14:43:16
36,145091031,0.00000958 BTC,YES,YES,2021-05-06 23:13:33
37,95992478,0.00000942 BTC,YES,YES,2021-03-12 18:03:50
38,26866668,0.00000929 BTC,YES,YES,2020-07-25 18:29:35
39,143486313,0.00000901 BTC,YES,YES,2021-05-05 23:36:03
40,96790546,0.00000857 BTC,YES,YES,2021-03-13 23:09:48
41,20827907,0.00000852 BTC,YES,YES,2021-05-06 14:45:24
42,144887995,0.00000836 BTC,YES,YES,2021-05-07 23:59:05
43,154819166,0.00000785 BTC,YES,YES,2021-05-12 15:08:41
44,99762605,0.00000756 BTC,YES,YES,2021-03-18 16:50:04
45,143502539,0.00000750 BTC,YES,YES,2021-05-05 23:18:40
46,95807562,0.00000727 BTC,YES,YES,2021-03-12 11:23:59
47,95593469,0.00000714 BTC,YES,YES,2021-03-12 00:36:03
48,65720409,0.00000709 BTC,YES,YES,2021-01-14 15:43:25
49,136497921,0.00000606 BTC,YES,YES,2021-04-29 22:16:18
50,147415396,0.00000580 BTC,YES,YES,2021-05-08 13:36:26
51,143506214,0.00000559 BTC,YES,YES,2021-05-06 19:31:27
52,96211995,0.00000502 BTC,YES,YES,2021-03-13 00:13:34
53,96808559,0.00000491 BTC,YES,YES,2021-03-13 21:18:21
54,66883032,0.00000472 BTC,YES,YES,2021-01-15 16:55:39
55,96098286,0.00000457 BTC,YES,YES,2021-03-13 14:24:03
56,95580209,0.00000437 BTC,YES,YES,2021-03-12 00:04:50
57,67015445,0.00000418 BTC,YES,YES,2021-01-14 23:47:01
58,153814722,0.00000410 BTC,YES,YES,2021-05-11 23:23:17
59,51799819,0.00000408 BTC,YES,YES,2020-09-25 22:22:31
60,55089784,0.00000394 BTC,YES,YES,2020-11-06 23:29:48
61,96215244,0.00000364 BTC,YES,YES,2021-03-13 00:18:25
62,143642173,0.00000350 BTC,YES,YES,2021-05-06 01:45:42
63,118895845,0.00000335 BTC,YES,YES,2021-05-31 19:22:39
64,84133610,0.00000334 BTC,YES,YES,2021-03-13 10:44:54
65,146407775,0.00000333 BTC,YES,YES,2021-05-07 23:17:04
66,66597981,0.00000320 BTC,YES,YES,2021-01-13 14:48:35
67,46795718,0.00000307 BTC,YES,YES,2020-08-14 08:46:57
68,146334612,0.00000303 BTC,YES,YES,2021-05-07 23:16:47
69,96755449,0.00000287 BTC,YES,YES,2021-04-10 23:08:06
70,22168903,0.00000285 BTC,YES,YES,2021-05-08 15:02:31
71,65686283,0.00000267 BTC,YES,YES,2021-01-17 17:29:21
72,141272103,0.00000250 BTC,YES,YES,2021-05-06 21:54:28
73,147694153,0.00000246 BTC,YES,YES,2021-05-08 17:05:02
74,144891438,0.00000245 BTC,YES,YES,2021-05-06 20:45:24
75,143501347,0.00000243 BTC,YES,YES,2021-05-05 23:17:35
76,96785187,0.00000224 BTC,YES,YES,2021-03-14 17:29:07
77,158379473,0.00000223 BTC,YES,YES,2021-05-14 23:01:58
79,51953584,0.00000221 BTC,YES,YES,2020-09-30 13:57:41
78,95919438,0.00000221 BTC,YES,YES,2021-03-15 15:34:47
